FID_g200,G200_REGIO,G200_NUM,G200_BIOME,FID_WWW_ed,OBJECTID,NAME,at_risk,Map_number,COUNTRY,TYPE,Region,FID_1,CONTINENT,sq_km
19,Central and Eastern Miombo Woodlands,88,7,19,21,Kabobo,,,DRC,WCS areas of work,Central Africa,1,Africa,6229
19,Central and Eastern Miombo Woodlands,88,7,59,86,Ruaha-Katavi,,,Tanzania,,East Africa and West Indian Ocean,1,Africa,58830
19,Central and Eastern Miombo Woodlands,88,7,60,87,,,,Mozambique,,East Africa and West Indian Ocean,1,Africa,40926
22,Central Andean Yungas,46,1,38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,AAO,6,South America,50204
22,Central Andean Yungas,46,1,40,54,Mara├▒on Ucayali,,,Peru,WCS areas of work,AAO,6,South America,1810
25,Central Range Subalpine Grasslands,106,10,69,100,Bismarck Forest Corridor,,,Papua New Guinea,WCS areas of work,Melanesia,2,Asia,271
28,Chihuahuan-Tehuac├ín Deserts,131,13,105,147,Greater Gila,,,USA,,,4,North America,8222
29,Chilean Matorral,122,12,37,49,Mediterraneo,,,Chile,WCS areas of work,Patagonia,6,South America,544
31,Choc├│-Dari├®n Moist Forests,39,1,42,56,Middle Magdalena Valley,,,Colombia,WCS areas of work,AAO,6,South America,8303
31,Choc├│-Dari├®n Moist Forests,39,1,43,57,Western-Central Andes,,,Colombia,WCS areas of work,AAO,6,South America,573
31,Choc├│-Dari├®n Moist Forests,39,1,44,58,Andes-Choco,,,Colombia,WCS areas of work,AAO,6,South America,12685
31,Choc├│-Dari├®n Moist Forests,39,1,58,82,,,,"Panama, Colombia",Partners work here,Mesoamerica,4,North America,15130
31,Choc├│-Dari├®n Moist Forests,39,1,58,82,,,,"Panama, Colombia",Partners work here,Mesoamerica,6,South America,5626
32,Chukhote Coastal Tundra,117,11,4,6,Natural System of Wrangel Island Reserve,y,1,Russia,WCS areas of work,Arctic Beringia,2,Asia,7546
32,Chukhote Coastal Tundra,117,11,9,11,Beringia NP,y,2,Russia,WCS areas of work,Arctic Beringia,2,Asia,13502
34,Congolian Coastal Forests,2,1,31,33,Cross River,,,"Nigeria, Cameroon",WCS areas of work,Central Africa,1,Africa,5284
34,Congolian Coastal Forests,2,1,32,34,Takamanda,,,Nigeria,WCS areas of work,Central Africa,1,Africa,3463
