FID_wwf_bi,BIOME,biome2,name,area,FID_strong,OBJECTID,SCAPENAME,PROGRAM,COUNTRY,TYPE,INTACTWILD,HIGHIMPORT,Name_1,Region,WCS_SH,Reason,sq_km
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,43,67,,Asia,"Kyrgyzstan, Tajikistan, China, Pakistan",A+B,0,,"Upper Syr Darya River Basin, Tian Shan Mountains, Upper Amu Darya River Basin, Greater Pamirs",Temperate Asia,1,Limitations in B: Financial,135944
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,45,70,,,"Kazakhstan, Russian, China y Mongolia",C,0,,Altai Mountains,Temperate Asia,0,Financial,105378
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,46,75,,,"Russia, China, Mongolia",G,0,,Daurian Steppe-Eastern Gobi,Temperate Asia,1,,252792
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,47,77,,,Kazakhstan,K,0,,Altyn Dala,Temperate Asia,0,"Political, Financial",9325
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,59,0,,,USA y Canada,,0,,Crown of the Continent,,0,,12311
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,60,0,,,USA,,0,,Greater Yellowstone,,0,,321
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,61,0,,,USA,,0,,Selmon-Selway Willderness,,0,,3091
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,63,0,,,USA y Canada,,0,,Missouri Grasslands,,0,,57605
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,67,0,,,USA,,0,,Flint Hills,,0,,40804
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,77,0,,,USA,,0,,Panhandle Shortgrass Steppe,,0,,28441
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,78,0,,,USA,,0,,6,,0,,7319
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,79,0,,,USA,,0,,5,,0,,48539
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,80,0,,,USA,,0,,8,,0,,20226
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,81,0,,,USA,,0,,Sand Hiills,,0,,66491
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,82,0,,,USA,,0,,Paha Sapa,,0,,55712
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,83,0,,,USA,,0,,Yellowstone Grasslands,,0,,56470
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,115,0,,,,,0,,,,0,,1401
