FID_wwf_bi,BIOME,biome2,name,area,FID_www_in,FID_WWW_ed,OBJECTID,NAME_1,at_risk,Map_number,COUNTRY,TYPE,Region,FID_contin,FID_1,CONTINENT,sq_km
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,107,106,52,,,,"Nicaragua, Costa Rica",,Mesoamerica,3,4,North America,10297
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,108,107,0,,,,,,,3,4,North America,111
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,38,38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,AAO,5,6,South America,868
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,41,41,55,Eastern Savannas of Arauca and Vichada,,,Colombia,WCS areas of work,AAO,5,6,South America,109
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,43,43,57,Western-Central Andes,,,Colombia,WCS areas of work,AAO,5,6,South America,6382
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,44,44,58,Andes-Choco,,,Colombia,WCS areas of work,AAO,5,6,South America,11
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,54,54,73,,,,Nicaragua,WCS areas of work,Mesoamerica,3,4,North America,5
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,55,55,76,,,,Cuba,WCS areas of work,Mesoamerica,3,4,North America,365
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,57,57,81,,,,"Cost Rica, Panama",Partners work here,Mesoamerica,3,4,North America,937
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,58,58,82,,,,"Panama, Colombia",Partners work here,Mesoamerica,3,4,North America,99
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,68,67,97,,,,India,,South Asia,1,2,Asia,24987
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,69,68,99,Western Ghats,,,India,,South Asia,1,2,Asia,6167
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,74,73,105,Vatu-i-Ra Seascape,,,Fiji,WCS areas of work,Melanesia,4,5,Oceania,2325
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,75,74,106,,,,Thailand,,Greater Mekong,1,2,Asia,2012
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,76,75,107,,,,Cambodia,,Greater Mekong,1,2,Asia,8819
1,2,2,Tropical_and_subtropical_dry_broadleaf_forests,0,77,76,108,,,,Cambodia,,Greater Mekong,1,2,Asia,3971
2,3,3,Tropical_and_subtropical_coniferous_forests,0,53,53,68,Maya Forest,,,"Guatemala, Mexico, Belize",WCS areas of work,Mesoamerica,3,4,North America,876
