FID_wwf_re,REALM,sq_km,FID_strong,OBJECTID,SCAPENAME,PROGRAM,COUNTRY,TYPE,INTACTWILD,HIGHIMPORT,Name,Region,WCS_SH,Reason,sq_km
5,NA,20491302,76,0,,,M├®xico,,0,,Occidentale Jaguar 2,,0,,0
6,NT,19308843,76,0,,,M├®xico,,0,,Occidentale Jaguar 2,,0,,0
5,NA,20491302,14,15,,,Canada,,0,,,Boreal,0,,162
5,NA,20491302,16,17,,,Canada,,0,,,Boreal,1,,162
5,NA,20491302,15,16,,,Canada,,0,,,Boreal,0,,11
5,NA,20491302,16,17,,,Canada,,0,,,Boreal,1,,11
5,NA,20491302,62,0,,,USA,,0,,Greater Gila,,0,,0
5,NA,20491302,69,0,,,USA y M├®xico,,0,,3,,0,,0
5,NA,20491302,66,0,,,USA,,0,,San Juan,,0,,0
5,NA,20491302,78,0,,,USA,,0,,6,,0,,0
5,NA,20491302,72,0,,,USA,,0,,Northeastern Great Basin Sagebrush,,0,,0
5,NA,20491302,73,0,,,USA,,0,,11,,0,,0
5,NA,20491302,78,0,,,USA,,0,,6,,0,,8
5,NA,20491302,79,0,,,USA,,0,,5,,0,,8
5,NA,20491302,101,0,,,USA,,0,,,Arctic Beringia,0,,353029
5,NA,20491302,104,0,,,USA,,0,,,Arctic Beringia,0,,353029
6,NT,19308843,18,22,,,Panam├í y Colombia,,0,,Choc├│-Dari├®n,AAO,1,,30
6,NT,19308843,19,23,,,Colombia,,0,,Central Andes,AAO,1,,30
6,NT,19308843,18,22,,,Panam├í y Colombia,,0,,Choc├│-Dari├®n,AAO,1,,0
6,NT,19308843,21,30,,,Colombia y Ecuador,,0,,South-Choc├│,AAO,0,,0
6,NT,19308843,18,22,,,Panam├í y Colombia,,0,,Choc├│-Dari├®n,AAO,1,,20613
6,NT,19308843,36,54,,,"Panama, Colombia",,0,,,Mesoamerica,1,,20613
6,NT,19308843,19,23,,,Colombia,,0,,Central Andes,AAO,1,,1587
6,NT,19308843,114,0,,,,,0,,,,0,,1587
6,NT,19308843,24,33,,,Colombia,,0,,Macarena - Tinig├╝a,AAO,0,,1435
6,NT,19308843,114,0,,,,,0,,,,0,,1435
6,NT,19308843,25,38,,,Bolivia,,0,,Altiplano,AAO,0,,1708
6,NT,19308843,117,0,,,,,0,,,,0,,1708
8,PA,52849857,99,0,,,Russian,,0,,,Arctic Beringia,0,,7600
8,PA,52849857,105,0,,,Russian,,0,,,Arctic Beringia,0,,7600
8,PA,52849857,100,0,,,Russian,,0,,,Arctic Beringia,0,,70157
8,PA,52849857,103,0,,,Russian,,0,,,Arctic Beringia,0,,70157
3,AT,21657240,6,7,Greater Chinko/Garamba/Southern,Africa,DRC,Terrestrial,4,N,Bili-Uere,Central Africa,0,,13
3,AT,21657240,28,42,Greater Chinko/Garamba/Southern,,Congo y Central African Republic,,0,,Bili-Uere - Zemongo,Sudano-Sahel,0,,13
3,AT,21657240,29,43,Greater Chinko/Garamba/Southern,,South Sudan y Congo,,0,,Southern-Lantoto - Garamba,Sudano-Sahel,0,,13
5,NA,20491302,17,18,,,Canada,,0,,,Boreal,1,,15463
5,NA,20491302,101,0,,,USA,,0,,,Arctic Beringia,0,,15463
5,NA,20491302,104,0,,,USA,,0,,,Arctic Beringia,0,,15463
