FID_WDPA_O,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,SUPP_INFO,CONS_OBJ,FID_strong,FID_stro_1,OBJECTID,SCAPENAME,PROGRAM,COUNTRY,TYPE,WCS_SH,Reason,CONTINENT,sq_km
5642,16855,16855,1,La Humada,La Humada,Reserva Natural,Nature Reserve,National,VI,Not Applicable,Designated,1974,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-L,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,61
5643,16858,16858,1,Pichi Mahuida,Pichi Mahuida,Reserva Natural,Nature Reserve,National,VI,Not Applicable,Designated,1974,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-L,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,79
5644,16861,16861,1,La Payunia,La Payunia,Reserva Total,Total Reserve,National,Ia,Not Applicable,Designated,1982,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-M,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,6829
5647,16873,16873,1,Copahue Caviahue,Copahue Caviahue,Parque Provincial,Provincial Park,National,II,Not Applicable,Designated,1962,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-Q,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,288
5648,16874,16874,1,Batea Mahuida,Batea Mahuida,Reserva Forestal,Forest Reserve,National,VI,Not Applicable,Designated,1968,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-Q,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,20
5649,16875,16875,1,Cha├▒y,Cha├▒y,Reserva Forestal,Forest Reserve,National,Not Reported,Not Applicable,Designated,1986,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-Q,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,50
5650,16876,16876,1,El Tromen,El Tromen,Parque Provincial,Provincial Park,National,II,Not Applicable,Designated,1971,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-Q,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,300
5652,16882,16882,1,Caleta de los Loros,Caleta de los Loros,Reserva de Uso M├║ltiple,Multiple Use Reserve,National,VI,Not Applicable,Designated,1984,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-R,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,18
5653,16883,16883,1,Meseta de Somuncur├í,Meseta de Somuncur├í,├ürea Natural Protegida,Protected Nature Area,National,VI,Not Applicable,Designated,1986,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-R,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,16158
5657,16888,16888,1,Punta Loma,Punta Loma,Reserva Natural Tur├¡stica,Tourist Nature Reserve,National,IV,Not Applicable,Designated,1967,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-U,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,17
5658,16889,16889,1,Pen├¡nsula de Vald├®s,Pen├¡nsula de Vald├®s,Reserva Natural Tur├¡stica,Tourist Nature Reserve,National,VI,Not Applicable,Designated,1983,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-U,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,86
5665,16899,16899,1,Bah├¡a Laura,Bah├¡a Laura,Reserva Natural Intangible,Intangible Nature Reserve,National,IV,Not Applicable,Designated,1977,Sub-national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1852,AR-Z,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,16
